feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Botryobasidium	pH	acidic	0.0164156803953339	0.00153929144502835	23	14	6.20797085995494e-10	2.06610260532797e-07
Entomortierella	pH	acidic	0.0398861562410452	0.0038696848882754	23	17	1.13730418641906e-09	2.06610260532797e-07
Pezizellaster	pH	acidic	-0.107990044617162	0.0103163565102173	23	18	8.64821922242824e-10	2.06610260532797e-07
Mortierella	pH	acidic	0.245220876808895	0.0272636413905363	23	23	1.1980590192644e-08	1.63235541374775e-06
Meliniomyces	pH	acidic	0.126488717235669	0.0169891238058412	23	21	2.5551727572899e-07	2.78513830544599e-05
Acarosporales_gen_Incertae_sedis	pH	acidic	0.0128022401802697	0.00183345475168278	23	12	6.78103820547178e-07	6.15944303663686e-05
Archaeorhizomyces	pH	acidic	0.192054051932707	0.0278423471330778	23	21	8.13203085501891e-07	6.32580453164288e-05
Knufia	pH	acidic	-0.160316869711023	0.0234505831858864	23	19	9.28558463360422e-07	6.32580453164288e-05
Exophiala	pH	acidic	-0.103723800415778	0.0152968077938585	23	23	1.04728358469164e-06	6.3418839295216e-05
Gloeopycnis	pH	acidic	0.0115615082230694	0.00173994752335236	23	14	1.40790341051548e-06	7.67307358730939e-05
Epibryon	pH	acidic	0.0115163512171937	0.00175263624039907	23	15	1.65504626579736e-06	7.88495282039767e-05
Podila	pH	acidic	0.133759040007832	0.0204654472983227	23	22	1.78739076325063e-06	7.88495282039767e-05
Syncephalis	pH	acidic	0.0325473192571751	0.00499752369202387	23	19	1.8808144342233e-06	7.88495282039767e-05
GS21_gen_Incertae_sedis	pH	acidic	0.0269295796283635	0.00421677618828123	23	14	2.48673859022492e-06	9.68051808337557e-05
Cortinarius	pH	acidic	0.196341669805011	0.0312219458007782	23	23	3.09024928419741e-06	0.000101119805171718
Lecanicillium	pH	acidic	0.0185712847529771	0.00295684947994175	23	13	3.14455251587002e-06	0.000101119805171718
Lobulomycetales_gen_Incertae_sedis	pH	acidic	-0.0137943142260103	0.00219675846135339	23	11	3.15419575764992e-06	0.000101119805171718
Chaetothyriales_gen_Incertae_sedis	pH	acidic	0.0702695212477048	0.0113377886473571	23	17	3.78530618781104e-06	0.00011461065957539
Piloderma	pH	acidic	0.214156195907003	0.0361385355582803	23	23	6.99121001425766e-06	0.000200537339882654
Rhizidium	pH	acidic	0.0833555018547228	0.0142384915349403	23	20	8.23181048245023e-06	0.000224316835646769
Talaromyces	pH	acidic	-0.093846972699189	0.0164425943157121	23	21	1.15164995618607e-05	0.000298880583867337
Leotiomycetes_gen_Incertae_sedis	pH	acidic	0.0928188703839452	0.0164226551361048	23	20	1.3089770121001e-05	0.000324269305270252
Dermateaceae_gen_Incertae_sedis	pH	acidic	0.0121012341080953	0.00217501854308406	23	11	1.60421900967179e-05	0.000380130156639619
Sugiyamaella	pH	acidic	0.0341636219478197	0.00619383437403078	23	15	1.79268288998748e-05	0.00039080487001727
Umbelopsis	pH	acidic	0.0667633943729636	0.0120827439233883	23	23	1.75257106981852e-05	0.00039080487001727
Leucosporidium	pH	acidic	0.0502218010076599	0.00926233789516907	23	22	2.22774961706025e-05	0.000466970592806861
Humicolopsis	pH	acidic	0.0358615054551105	0.0066847812562075	23	17	2.54695332184752e-05	0.000514107244595147
Leptobacillium	pH	acidic	0.0136742137872031	0.00257011791198772	23	14	2.82357637420309e-05	0.000549588972835959
Pochonia	pH	acidic	0.00602556761855643	0.00114642862276135	23	10	3.28332631199107e-05	0.000617038910356942
Pezoloma	pH	acidic	0.165803671118624	0.0321196020901843	23	23	4.09186343123704e-05	0.000743355190008062
Hyphodiscus	pH	acidic	0.0328575593075	0.0063930153693006	23	14	4.31370865433822e-05	0.000758377811811074
