"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Piloderma"	"pH"	"acidic"	"pHacidic"	8.88834198552285	0.660416863626203	1.02999830886574e-11	1.00012835790864e-08	1.02999830886574e-11	5.95339022524399e-09	NA	"abundance"	23	23
"Archaeorhizomyces"	"pH"	"acidic"	"pHacidic"	10.7624004373926	0.867231302345483	6.62203625267921e-11	2.63477596037139e-08	6.62203625267921e-11	1.56838363037555e-08	NA	"abundance"	23	22
"Meliniomyces"	"pH"	"acidic"	"pHacidic"	9.06312562559465	0.733882647603905	8.14039946561707e-11	2.63477596037139e-08	8.14039946561707e-11	1.56838363037555e-08	NA	"abundance"	23	22
"Podila"	"pH"	"acidic"	"pHacidic"	7.85460003366418	0.723794927135922	6.67426780509572e-10	1.62017850968699e-07	6.67426780509572e-10	9.64431697836332e-08	NA	"abundance"	23	22
"Pezoloma"	"pH"	"acidic"	"pHacidic"	7.82102495500681	0.76753096879456	1.80178749698001e-09	3.49907131913518e-07	3.60357499071359e-09	4.1657326892649e-07	NA	"abundance"	23	22
"Rhizidium"	"pH"	"acidic"	"pHacidic"	7.78824695735665	0.829363112113446	6.15515871604799e-09	9.96109852213767e-07	6.15515871604799e-09	5.92946956312623e-07	NA	"abundance"	23	22
"Entomortierella"	"pH"	"acidic"	"pHacidic"	7.56070972556122	0.596786813559454	1.2152249428965e-08	1.68569059936071e-06	1.2152249428965e-08	1.00342859570597e-06	NA	"abundance"	23	15
"Exophiala"	"pH"	"acidic"	"pHacidic"	-6.34611980949459	0.617436640425454	1.50734584813961e-08	1.82954102317945e-06	1.50734584813961e-08	1.08905737528087e-06	NA	"abundance"	23	23
"Knufia"	"pH"	"acidic"	"pHacidic"	-9.29057283008914	0.78584178521624	1.94415360477151e-08	2.09752572248127e-06	1.94415360477151e-08	1.24857864839771e-06	NA	"abundance"	23	17
"Sclerococcum"	"pH"	"acidic"	"pHacidic"	9.61078637649561	1.02883449539205	2.97753371958365e-08	2.89118524171572e-06	2.97753371958365e-08	1.72101448991935e-06	NA	"abundance"	23	19
"Mortierella"	"pH"	"acidic"	"pHacidic"	3.5460014282022	0.414630961845729	3.57412768270393e-08	3.15497998173229e-06	3.57412768270393e-08	1.8780416369117e-06	NA	"abundance"	23	23
"Lachnellula"	"pH"	"acidic"	"pHacidic"	4.85538765208809	0.671700814375368	2.08607899621072e-07	1.58518067107179e-05	2.08607899621072e-07	9.43598792872809e-06	NA	"abundance"	23	23
