FeatureID	Barcode001	Barcode002	Barcode003	Barcode004	Barcode005	Barcode006	Barcode007	Barcode008	Barcode009	Barcode010	Barcode011	Barcode012	Barcode013	Barcode014	Barcode015	Barcode016	Barcode017	Barcode018	Barcode019	Barcode020	Barcode021	Barcode022	Barcode023	Barcode024
OTU_1	26407	34496	219	16820	37669	48111	43	24954	2486	6	1	459	3	11	89	23	86	36	47	1	33	9	11	1
OTU_2	1	24	62	2	9	15	276	0	6	4430	862	8	7915	12186	1395	313	5	12431	46510	3713	3300	11292	2	0
OTU_3	2	81	5	7	39	11	11977	0	6	18	6	11	20489	8986	7902	0	0	9049	4	5700	11546	2	2	0
OTU_4	0	138	4	0	13	2	1774	0	17	2041	17602	0	7811	3177	1073	0	3	16498	21535	181	13919	2435	1	0
OTU_5	11	6699	72	4386	19	9450	4338	8069	20361	3063	3170	10821	11954	6637	10263	2743	2678	3326	6498	14709	8338	2174	14340	1
OTU_6	701	10969	374	9177	244	13511	3435	17079	29441	6702	5637	15196	11855	7461	5940	2033	11003	2557	11051	5817	4524	1994	7672	1
OTU_7	0	4	1	15	23	14	3430	0	4	14	22	24	9273	12013	13951	40	0	747	4	12685	12100	4699	3	0
OTU_8	7	3362	0	328	0	1073	2	0	2107	85	173	31195	3	18	23	15	4809	29	16	27	6	1	16112	0
OTU_9	78	3560	2	3932	15	1012	17	2	4975	1	2	5030	0	0	18	511	29431	10	7	2	3	7	25640	0
OTU_10	0	72	38	1	3	114	1610	21	5	3799	3932	6	2272	15466	5192	19013	35	4602	6475	934	1307	1874	34	0
OTU_11	30	23066	19	7126	48527	12631	2	1652	5362	4	1	8818	3	4	2	2	2341	48	2	1	6	1	1313	1
OTU_12	0	4	0	0	0	34	0	0	0	2175	1460	1	2	15	9	7	2	9	247	2	23	37115	2	0
OTU_13	5	0	0	1	12	93	50	0	2294	94	1046	0	1509	1717	2705	9686	12412	2170	7254	4726	81	4456	3034	3
OTU_14	47553	3	1	296	1	2	1	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_15	0	74	0	3	16	2	782	0	1	1454	21	9	5911	4225	2294	42	1	5467	1026	3332	6307	3367	2	1
OTU_16	5057	42	24317	2	2381	55	3	2093	674	5	3	75	0	0	0	1252	355	8	84	0	2	12	20	0
OTU_17	0	0	56	0	1	0	1	0	2	8077	19322	0	2	32	1088	0	0	2	5881	1	256	710	0	0
OTU_18	15	3	4	2	7	19282	1	0	16979	61	0	1	0	1	0	416	7	0	117	0	0	1	4	0
OTU_19	1	1	0	21	4	18	105	0	0	0	1	30	1332	13	3527	0	0	29	159	18249	4345	6	4	1
OTU_20	29782	71	24	4	11251	51	4	2464	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_21	1	6	3	1	5	3	5567	0	4	14235	895	8	3749	6153	5450	1	1	7339	3822	3836	5387	3154	0	0
OTU_22	402	2970	65	2610	1442	11045	6	1354	11487	252	1626	2050	3	1	4	84	1131	19	85	2	0	11	3799	0
OTU_23	5785	1374	16842	642	6480	4392	47	17699	2030	0	7	4021	0	2	0	10	6104	0	2	0	0	3	1184	0
OTU_24	138	1877	186	2024	101	306	1	1467	84	5	0	2554	0	1	0	64	11376	2	3	1	0	26	1501	0
OTU_25	886	236	12670	54	229	1330	27	17998	1826	3	2	412	36	56	4	260	208	3	23	20	21	1	264	0
OTU_26	10	30	81	4	13	6	21833	0	0	3829	4564	0	3135	531	4357	0	0	3098	3768	356	1024	4470	1	0
OTU_27	36	49	44	89	2	9370	1650	1069	11511	2283	2590	1808	137	501	33	548	171	192	1974	138	24	902	300	0
OTU_28	4	3689	23	108	31302	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0
