FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU_2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA
OTU_3	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU_4	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU_5	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	sphaerosporum
OTU_6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	pulchella
OTU_7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	macrocystis
OTU_8	Fungi	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Sclerococcum	NA
OTU_9	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	humilis
OTU_10	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
OTU_11	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_12	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	NA
OTU_13	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU_14	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	pinisquamulosus
OTU_15	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
OTU_16	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_17	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	NA
OTU_18	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	alliacea
OTU_19	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	amoeboidea
OTU_20	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	arenicola
OTU_21	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_22	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	armillatus
OTU_23	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_24	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	NA
OTU_25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	fabae
OTU_26	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_27	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NA	NA
OTU_28	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
OTU_29	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	NA
OTU_30	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	terricola
OTU_31	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	basiparvispora
OTU_32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Mallocybe	NA
OTU_33	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	periconioides
OTU_34	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	euchlorocarpius
OTU_35	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	pilicola
OTU_36	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Kodamaea	NA
OTU_37	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	vietus
OTU_38	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
OTU_39	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	NA
OTU_40	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	fibrillosa
OTU_41	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Pezoloma	ericae
OTU_42	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	tricinctum
OTU_43	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	pseudozygospora
OTU_44	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	NA
OTU_45	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	mohelnensis
OTU_46	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	dehoogii
OTU_47	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	odorata
OTU_48	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Saccharomycetales_gen_Incertae_sedis	NA
OTU_49	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	NA
OTU_50	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Meliniomyces	NA
OTU_51	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	macrocystis
OTU_52	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	kauffmanianus
OTU_53	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU_54	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
OTU_55	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	malenconii
OTU_56	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavariaceae_gen_Incertae_sedis	NA
OTU_57	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipitaceae_gen_Incertae_sedis	NA
OTU_58	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Pezizellaster	NA
OTU_59	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae_gen_Incertae_sedis	NA
OTU_60	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Atheliaceae_gen_Incertae_sedis	NA
OTU_61	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	laniger
