FeatureID	Barcode001	Barcode002	Barcode003	Barcode004	Barcode005	Barcode006	Barcode007	Barcode008	Barcode009	Barcode010	Barcode011	Barcode012	Barcode013	Barcode014	Barcode015	Barcode016	Barcode017	Barcode018	Barcode019	Barcode020	Barcode021	Barcode022	Barcode023	Barcode024
OTU_1	22123	28630	178	13986	31278	40073	33	21089	2068	3	1	378	3	6	1	24	65	28	36	1	1	9	10	0
OTU_2	598	9659	326	8082	222	11921	3112	15682	25951	6375	5330	13747	14933	9383	6196	1864	9756	2728	10024	5670	5639	1887	6990	1
OTU_3	1	144	8	0	15	3	1815	0	15	4785	19440	1	8251	3188	1118	0	3	17754	21585	183	13919	2719	0	0
OTU_4	1	19	52	3	6	13	262	0	10	4398	880	7	7729	11338	1363	296	7	11667	43871	3377	3113	11221	2	0
OTU_5	33	7655	80	4257	30	8653	4041	8855	18755	3072	3087	9699	11752	6353	10219	2553	3227	3097	6146	13995	8182	2115	13547	2
OTU_6	3	72	5	4	23	4	11443	0	5	10	6	7	20519	8898	8008	0	0	8659	4	5528	11528	2	1	0
OTU_7	18	23670	17	6516	44306	12298	3	1582	4721	4	1	9424	1	4	2	1	2284	44	2	1	2	0	1639	1
OTU_8	5	0	0	0	14	93	48	0	2265	96	1097	0	1560	1736	2749	9731	12275	2180	7400	4744	82	4573	3015	3
OTU_9	46	3227	2	3609	14	925	9	2	4582	1	1	4821	0	0	4	499	27299	7	4	2	2	8	24127	1
OTU_10	0	2	1	6	7	4	3220	0	0	16	23	9	9124	11486	13487	39	0	715	5	11915	11625	4605	3	0
OTU_11	4	3149	0	301	0	1007	4	0	1980	100	205	29379	3	29	22	14	4516	29	18	25	8	0	15278	0
OTU_12	5728	1917	17447	582	5901	4045	46	16349	2054	0	7	5496	0	3	0	9	5917	0	0	0	0	2	1260	0
OTU_13	0	67	30	1	4	105	1496	17	5	3959	4071	6	2286	14495	4709	18127	34	4408	6316	804	1297	1921	32	0
OTU_14	43162	2	1	267	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15	0	4	0	0	0	26	0	0	1	2206	1626	1	0	20	9	8	5	11	238	6	27	36434	2	0
OTU_16	51	32129	3	544	7	303	9	3	34580	2	4	2780	1	0	9	2	20768	6	13	4	1	3	26330	0
OTU_17	1	14	6	3	4	5	5093	0	6	14522	1112	10	3754	6344	2859	2	0	6783	2667	3261	5694	3527	1	0
OTU_18	24	5	5	10	12	17620	1	0	15605	107	0	1	0	4	0	705	10	0	89	0	0	1	6	0
OTU_19	0	1	57	0	1	0	1	0	3	7860	18557	0	2	31	1043	0	0	1	5572	1	242	688	0	0
OTU_20	32	41	42	77	3	8459	1491	1014	10386	2298	2551	1726	127	475	30	498	161	177	1830	127	23	872	285	0
OTU_21	0	59	1	1	7	3	880	0	1	1457	14	4	6078	4249	2392	34	1	5133	925	3296	6437	3363	2	1
OTU_22	1692	218	17475	57	228	1244	30	17591	1701	4	5	403	39	51	7	441	209	7	26	20	30	2	256	0
OTU_23	27021	68	24	2	9335	45	4	2313	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	5184	53	23497	2	2280	66	3	2775	10	5	0	93	0	0	0	2	495	3	66	0	4	0	21	0
OTU_25	3	3435	17	105	29910	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
OTU_26	6	6	6	7	17	13	19832	1	1	2	6	0	2691	43	22	0	0	0	5	54	848	3132	1	0
OTU_27	0	0	0	0	1	0	22	6	8	5	7	7	14	4	2778	23205	4	0	0	3	1260	0	4	0
OTU_28	15	90	205	3	16	2	4483	0	5	11771	13271	2	1248	1146	8552	0	0	7253	10626	828	557	4979	1	0
OTU_29	0	54	0	0	2	0	479	0	0	1325	748	2	11105	4203	657	1120	0	3877	3825	191	17249	1180	2	0
OTU_30	1206	6111	3	1869	1000	1403	24	9889	1632	11	21	2159	1	0	0	20	1558	11	28	0	0	0	1305	1
OTU_31	0	46	0	3315	2	339	100	175	491	1	0	792	1378	23	3616	164	377	27	1104	17689	4377	15	1135	1
OTU_32	121	1755	178	1894	99	288	1	1416	75	5	0	2421	0	2	0	63	10666	3	3	1	0	26	1447	0
OTU_33	0	63	26	0	2	11	255	1	43	12936	2234	2	3607	3719	730	491	0	4272	6274	316	2459	4417	117	0
OTU_34	1	0	19	0	0	0	3	0	0	11	26	0	0	0	0	0	5	2	19095	0	0	2	3	0
OTU_35	51	2554	5	2096	2	10222	2	247	10624	315	1966	1750	1	1	2	80	1059	17	88	2	0	14	3654	0
OTU_36	1	37	1	0	14	37	1371	3	1	59	27	14	16013	15479	5329	55	14	37	7	1513	3472	42	23	0
OTU_37	93	0	15695	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	0	2	19	0	0	0	0	0	0	1738	11843	0	3	0	0	0	0	0	4813	0	0	235	0	0
OTU_39	0	1	1	1	5	2	9692	0	0	0	1	0	4300	590	4	0	0	1	0	0	2389	0	0	0
OTU_40	3	86	5	262	1	3235	1094	9	3689	1933	2983	2711	1338	861	28	807	961	1464	1580	349	5	976	772	1
OTU_41	0	0	0	11	0	3	24	2	2	0	138	8	742	9009	70	4703	2	0	799	6361	1	0	0	1
OTU_42	242	2646	5	4	52	163	19	12335	252	0	1	166	0	0	0	0	125	0	0	0	0	0	44	0
OTU_43	1	0	2	7	0	312	335	12	281	275	731	273	900	2582	1305	5504	2178	9	211	4854	120	1209	1101	2
OTU_44	4	278	1	12285	919	0	0	64	10	12	1620	1268	0	0	1	0	7	62	63	1	0	0	3090	0
OTU_45	5	459	79	11823	17002	8	3	1	0	1	1	0	1	0	4	1176	2	9	0	0	3	1	17276	0
OTU_46	18	0	25	0	0	7	10	5	1	0	266	10	13	18	5833	3	3	165	641	2	1268	12529	4	0
OTU_47	0	0	0	0	5	1	1	0	0	0	0	0	62	1706	43	0	2	0	1	152	13711	6	0	0
OTU_48	0	0	19	0	0	20	14	0	70	744	186	38	1410	3285	3932	1584	3	2	926	9	458	683	28	1
OTU_49	5	4094	1	405	394	810	1	1	4886	0	0	1565	0	0	1	0	759	0	0	0	0	0	606	0
OTU_50	0	0	2	0	0	0	7	0	1	672	7	0	1311	2	2520	0	0	398	1544	10	1364	3865	0	0
OTU_51	1	7106	2	0	6	1789	472	102	23	53	103	96	35	82	930	32	5460	42	277	154	238	30	762	0
OTU_52	0	0	23	17	0	0	0	1	2	4815	1381	0	1	0	0	0	1	22	3338	1	0	2024	0	0
OTU_53	0	4	0	0	0	0	240	0	1	4820	262	0	683	717	431	0	0	2855	370	757	942	762	0	0
OTU_54	3	942	258	575	21	766	5	2626	215	103	12	5429	0	1	5	12	3495	14	2	3	1	108	5157	0
OTU_55	0	0	3	659	0	205	1059	1	38	1585	1539	30	42	398	226	1224	0	51	1124	2306	131	1075	110	0
OTU_56	0	0	1	0	2	0	2000	0	3	1792	443	4	4966	2996	1580	23	0	2222	767	3631	1220	5449	1	0
OTU_57	3	1	1	136	1	918	1373	8	3940	1017	869	1216	849	1088	97	211	1	746	1029	1320	282	520	171	0
OTU_58	0	0	0	0	2	0	7825	1	0	0	10	0	977	373	7665	2	1	0	1002	6	16332	122	0	0
OTU_59	89	5	67	0	5	7	55	2	1	10	3	3	3109	38	52	2263	6	3010	22	18	9348	81	1	0
OTU_60	5	1	2	4	2	3	12513	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0
OTU_61	0	1	1	2	5	2	79	0	4	1	1	5	6428	1023	8966	0	3	328	105	2462	3289	1	1	0
OTU_62	7	3	2	2	9	2625	500	4598	3656	167	232	4	317	125	2346	777	0	8	248	23	1029	90	23	0
OTU_63	0	0	0	0	0	0	41	0	3	2	2	4	542	596	7338	0	0	1	0	1223	1586	1	0	0
OTU_64	0	69	31	2774	0	219	73	0	1168	1292	2392	3106	3338	1728	5395	586	959	86	6107	2840	2074	2398	4178	0
OTU_65	17722	19	1	641	20	284	1	4	3	4	0	0	0	0	0	4	3	0	0	0	0	0	247	0
OTU_66	22	2437	2	760	2	5791	3	0	6643	1	262	7949	0	1	2	14	4538	8	1	7	1	2	5252	0
OTU_67	0	7	5	0	0	3	1	0	1	7088	9297	2	458	1191	1249	2026	0	3922	2934	4	2573	5145	0	0
OTU_68	0	0	0	0	0	0	45	1	0	0	0	0	997	101	2086	1003	146	0	10	2412	2877	0	14	1
OTU_69	0	0	16	0	1	0	2444	0	0	263	297	0	509	1368	694	13	0	739	745	2245	515	996	0	0
OTU_70	0	0	0	0	0	0	0	0	0	2	12	1	2344	1948	1452	0	0	37	515	8	451	2628	0	0
OTU_71	46	6537	29	998	4245	2711	4	1128	2632	0	1	1693	2	0	0	0	5550	13	11	1	0	0	2499	0
OTU_72	249	1780	8	1473	4	1722	3	2442	3226	52	211	749	0	0	2	31	316	4	15	1	0	0	696	0
OTU_73	1	247	0	612	0	528	2143	2	897	663	461	636	758	1144	1444	483	67	162	622	1967	419	1204	487	0
OTU_74	0	0	0	0	0	5	0	0	2	1	2	2	3	10054	0	2	0	0	0	0	0	3	0	0
OTU_75	14	2634	86	0	0	0	1	0	11997	15	6782	2	2	0	6	4666	3	1	1792	1	1	0	4490	0
OTU_76	0	0	0	0	0	0	0	1	1	1	1	2377	0	3	0	10017	38	0	0	0	0	0	21	0
OTU_77	0	0	0	0	1	0	13	0	0	1	2	3	9855	122	0	0	0	0	0	76	6	0	0	0
OTU_78	0	0	1	7	0	5	37	0	0	0	12	11	70	14	3	660	1	0	9	6760	4	2957	4	0
OTU_79	0	53	0	0	0	0	0	0	1	2008	397	0	0	0	0	0	0	2503	1621	0	3	2296	0	0
OTU_80	1	1	54	891	16100	0	2	932	0	2	0	0	1	1	0	0	135	0	0	0	1	0	0	0
OTU_81	2	0	0	2	0	1228	2	1	374	2	305	3921	0	0	2	607	402	0	65	0	0	0	2059	0
OTU_82	0	8	0	0	10	15	482	0	0	9634	9	1	12	108	91	12	9	32	14	85	43	2692	5	0
OTU_83	0	0	0	0	0	0	0	2	2	0	1	2	4	3	1	9094	0	7	2	0	0	0	8	1
OTU_84	1204	0	11217	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_85	56	560	1	1	0	14	4	0	4496	1	2339	742	0	4	3	0	1	1	876	0	3	174	4499	0
OTU_86	0	14	3	0	0	1	0	0	1	8989	1482	0	72	3	24	76	0	1	854	1	2	3834	1	0
OTU_87	0	205	0	0	0	785	30	5	38	1195	909	145	549	215	718	540	1	1317	552	43	213	954	86	0
OTU_88	0	0	0	0	0	0	13	0	9	1185	326	0	4084	3040	647	715	0	884	210	103	1605	68	0	0
OTU_89	3	5	1	4	11	4	6887	0	0	321	14	3	852	71	552	0	1	1279	411	2013	4019	1359	1	0
OTU_90	0	0	0	0	0	0	38	2	38	31	2	2	22	44	57	8518	0	208	27	9	8	20	49	0
OTU_91	24	0	0	0	0	5	3	0	1	3	3	7	57	7640	3	3	0	0	0	3	189	0	0	0
OTU_92	0	0	1	0	0	7	60	0	0	5	5	1	4	10	3100	2	0	0	63	2	370	5688	0	0
OTU_93	3	403	0	53	2	1967	37	2	37	11	96	596	15	19	19	2014	3366	5	77	1118	1053	3	994	0
OTU_94	1	265	4	0	0	0	0	0	3533	5246	3623	968	1	1	0	0	6	1	702	0	2	1494	0	0
OTU_95	0	0	0	0	0	1	0	0	0	1	1	1	209	505	6814	0	0	0	0	6	11	0	1	0
OTU_96	8	2	13	95	12	1	742	0	0	4360	920	1	1888	688	864	0	3	1666	2313	182	991	449	0	0
OTU_97	0	2	0	1	0	829	5	0	247	555	367	1327	975	583	9	309	4	1658	0	0	5	0	10	0
OTU_98	9	228	0	0	0	78	0	2	49	59	3	813	0	0	2	16	5217	0	0	6	0	6	478	0
OTU_99	5	2	6740	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	13	0	0	0	0	48	0	0	35	0	0	4	0	0	3	291	6833	0	0	8	0	0	352	0
OTU_101	71	835	4566	125	145	968	158	76	1361	22	13	406	32	25	9	10	491	482	50	110	38	9	281	0
OTU_102	1374	1	6197	2	258	16	1	1900	0	0	1	2	0	0	0	0	30	0	0	0	0	0	12	0
OTU_103	2	203	1	833	18	962	73	458	126	1	1	1461	161	218	2235	542	36	9	0	1039	756	1	2918	0
