FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU_2	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	sphaerosporum
OTU_3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	pulchella
OTU_4	Fungi	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Sclerococcum	NA
OTU_5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA
OTU_6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU_7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	macrocystis
OTU_8	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
OTU_9	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_10	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	humilis
OTU_11	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	multiseptata
OTU_12	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	pinisquamulosus
OTU_13	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Myxozyma	NA
OTU_14	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	NA
OTU_15	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	alliacea
OTU_16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
OTU_17	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
OTU_18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	NA
OTU_19	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	NA
OTU_20	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	arenicola
OTU_21	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	NA
OTU_22	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	amoeboidea
OTU_23	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
OTU_24	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Kodamaea	NA
OTU_25	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	NA
OTU_26	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Pezoloma	ericae
OTU_27	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	periconioides
OTU_28	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Mallocybe	NA
OTU_29	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	NA
OTU_30	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	armillatus
OTU_31	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	NA
OTU_32	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	depallens
OTU_33	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Saccharomycetales_gen_Incertae_sedis	NA
