Sampleid	Labc	Area	Veg	Soil	Type
Barcode001	R08	RJ	moss	7.4	tsl
Barcode002	R16	RJ	clover	6.92	tsl
Barcode003	R07	RJ	moss	7.15	tsl
Barcode004	R37	RJ	moss	7.11	tsl
Barcode005	R33	RJ	clover	7.38	tsl
Barcode006	R13	RJ	clover	6.7	tsl
Barcode007	M06	MV	ctrl	4	cfl
Barcode008	R38	RJ	clover	7.25	tsl
Barcode009	R05	RJ	clover	6.81	tsl
Barcode010	R34	RJ	ctrl	4,44	mfl
Barcode011	R32	RJ	ctrl	4,84	mfl
Barcode012	R04	RJ	clover	6.87	tsl
Barcode013	M04	MV	ctrl	3,84	cfl
Barcode014	M07	MV	ctrl	3,91	cfl
Barcode015	M01	MV	ctrl	4,02	cfl
Barcode016	R21	RJ	ctrl	5,71	mfl
Barcode017	R18	RJ	clover	7.31	tsl
Barcode018	R40	RJ	ctrl	4,15	mfl
Barcode019	R42	RJ	ctrl	4,52	mfl
Barcode020	M05	MV	ctrl	4,05	cfl
Barcode021	M02	MV	ctrl	3,78	cfl
Barcode022	R31	RJ	ctrl	4,3	mfl
Barcode023	R23	RJ	clover	6.64	tsl
Barcode024	negative	na	negative	na	na
